ID,Name,Description,Tree_Is_Rooted,Tree_Type,Tree_Branch_Length_Unit,Media_ID,Source
STATE_228,STATE_228,bayesian,,sample,,posterior,
STATE_229,STATE_229,bayesian,,sample,,posterior,
STATE_230,STATE_230,bayesian,,sample,,posterior,
STATE_231,STATE_231,bayesian,,sample,,posterior,
STATE_232,STATE_232,bayesian,,sample,,posterior,
STATE_233,STATE_233,bayesian,,sample,,posterior,
STATE_234,STATE_234,bayesian,,sample,,posterior,
STATE_235,STATE_235,bayesian,,sample,,posterior,
STATE_236,STATE_236,bayesian,,sample,,posterior,
STATE_237,STATE_237,bayesian,,sample,,posterior,
STATE_238,STATE_238,bayesian,,sample,,posterior,
STATE_239,STATE_239,bayesian,,sample,,posterior,
STATE_240,STATE_240,bayesian,,sample,,posterior,
STATE_241,STATE_241,bayesian,,sample,,posterior,
STATE_242,STATE_242,bayesian,,sample,,posterior,
STATE_243,STATE_243,bayesian,,sample,,posterior,
STATE_244,STATE_244,bayesian,,sample,,posterior,
STATE_245,STATE_245,bayesian,,sample,,posterior,
STATE_246,STATE_246,bayesian,,sample,,posterior,
STATE_247,STATE_247,bayesian,,sample,,posterior,
STATE_248,STATE_248,bayesian,,sample,,posterior,
STATE_249,STATE_249,bayesian,,sample,,posterior,
STATE_250,STATE_250,bayesian,,sample,,posterior,
STATE_251,STATE_251,bayesian,,sample,,posterior,
STATE_252,STATE_252,bayesian,,sample,,posterior,
STATE_253,STATE_253,bayesian,,sample,,posterior,
STATE_254,STATE_254,bayesian,,sample,,posterior,
STATE_255,STATE_255,bayesian,,sample,,posterior,
STATE_256,STATE_256,bayesian,,sample,,posterior,
STATE_257,STATE_257,bayesian,,sample,,posterior,
STATE_258,STATE_258,bayesian,,sample,,posterior,
STATE_259,STATE_259,bayesian,,sample,,posterior,
STATE_260,STATE_260,bayesian,,sample,,posterior,
STATE_261,STATE_261,bayesian,,sample,,posterior,
STATE_262,STATE_262,bayesian,,sample,,posterior,
STATE_263,STATE_263,bayesian,,sample,,posterior,
STATE_264,STATE_264,bayesian,,sample,,posterior,
STATE_265,STATE_265,bayesian,,sample,,posterior,
STATE_266,STATE_266,bayesian,,sample,,posterior,
STATE_267,STATE_267,bayesian,,sample,,posterior,
STATE_268,STATE_268,bayesian,,sample,,posterior,
STATE_269,STATE_269,bayesian,,sample,,posterior,
STATE_270,STATE_270,bayesian,,sample,,posterior,
STATE_271,STATE_271,bayesian,,sample,,posterior,
STATE_272,STATE_272,bayesian,,sample,,posterior,
STATE_273,STATE_273,bayesian,,sample,,posterior,
STATE_274,STATE_274,bayesian,,sample,,posterior,
STATE_275,STATE_275,bayesian,,sample,,posterior,
STATE_276,STATE_276,bayesian,,sample,,posterior,
STATE_277,STATE_277,bayesian,,sample,,posterior,
STATE_278,STATE_278,bayesian,,sample,,posterior,
STATE_279,STATE_279,bayesian,,sample,,posterior,
STATE_280,STATE_280,bayesian,,sample,,posterior,
STATE_281,STATE_281,bayesian,,sample,,posterior,
STATE_282,STATE_282,bayesian,,sample,,posterior,
STATE_283,STATE_283,bayesian,,sample,,posterior,
STATE_284,STATE_284,bayesian,,sample,,posterior,
STATE_285,STATE_285,bayesian,,sample,,posterior,
STATE_286,STATE_286,bayesian,,sample,,posterior,
STATE_287,STATE_287,bayesian,,sample,,posterior,
STATE_288,STATE_288,bayesian,,sample,,posterior,
STATE_289,STATE_289,bayesian,,sample,,posterior,
STATE_290,STATE_290,bayesian,,sample,,posterior,
STATE_291,STATE_291,bayesian,,sample,,posterior,
STATE_292,STATE_292,bayesian,,sample,,posterior,
STATE_293,STATE_293,bayesian,,sample,,posterior,
STATE_294,STATE_294,bayesian,,sample,,posterior,
STATE_295,STATE_295,bayesian,,sample,,posterior,
STATE_296,STATE_296,bayesian,,sample,,posterior,
STATE_297,STATE_297,bayesian,,sample,,posterior,
STATE_298,STATE_298,bayesian,,sample,,posterior,
STATE_299,STATE_299,bayesian,,sample,,posterior,
STATE_300,STATE_300,bayesian,,sample,,posterior,
STATE_301,STATE_301,bayesian,,sample,,posterior,
STATE_302,STATE_302,bayesian,,sample,,posterior,
STATE_303,STATE_303,bayesian,,sample,,posterior,
STATE_304,STATE_304,bayesian,,sample,,posterior,
STATE_305,STATE_305,bayesian,,sample,,posterior,
